Season,Var.1,Var.2,Var.3,Var.4,Var.5,Var.6,Var.7,Var.8,Var.9,Var.10,Var.11,Var.12,Var.13,Var.14,Var.15,Var.16,Var.17,Var.18,Offense.Four.Factors,Offense.Four.Factors.1,Offense.Four.Factors.2,Offense.Four.Factors.3,Var.23,Defense.Four.Factors,Defense.Four.Factors.1,Defense.Four.Factors.2,Defense.Four.Factors.3,Var.28,Var.29,Var.30,Var.31
1,20,Utah Jazz,26.8,39,43,36,46,-1.83,0.39,-1.44,108.1,110.1,-2.0,91.0,.313,.191,.544,NA,.498,13.5,27.0,.241,NA,.505,13.8,71.7,.275,NA,EnergySolutions Arena,"799,982","19,512"
1,21,Golden State Warriors,25.2,36,46,35,47,-2.33,0.33,-2.00,108.2,110.7,-2.5,94.8,.241,.248,.544,NA,.510,13.3,26.7,.183,NA,.509,14.5,69.3,.259,NA,Oracle Arena,"766,398","18,693"
1,22,Los Angeles Clippers,24.6,32,50,32,50,-3.13,0.42,-2.71,105.3,108.7,-3.4,92.8,.332,.230,.535,NA,.496,15.1,28.4,.234,NA,.499,12.8,73.2,.250,NA,STAPLES Center,"727,462","17,743"
1,23,Detroit Pistons,27.2,30,52,31,51,-3.60,-0.18,-3.78,107.7,111.7,-4.0,89.2,.279,.189,.533,NA,.495,12.5,27.4,.206,NA,.526,13.8,72.1,.235,NA,The Palace of Auburn Hills,"683,080","16,660"
1,24,Charlotte Bobcats,26.9,34,48,29,53,-4.00,-0.08,-4.08,103.4,107.8,-4.4,89.6,.314,.189,.528,NA,.482,14.1,25.7,.237,NA,.500,12.9,75.2,.229,NA,Time Warner Cable Arena,"649,694","15,846"
1,25,Sacramento Kings,24.8,24,58,27,55,-5.34,0.54,-4.80,103.5,109.0,-5.5,95.2,.284,.183,.519,NA,.480,14.4,29.9,.208,NA,.513,13.5,74.4,.233,NA,Power Balance Pavilion,"569,496","13,890"
1,26,New Jersey Nets,24.8,24,58,24,58,-6.24,-0.04,-6.28,103.1,109.9,-6.8,89.9,.283,.201,.517,NA,.474,13.4,26.1,.215,NA,.503,11.8,74.2,.241,NA,Prudential Center,"581,378","13,949"
1,27,Toronto Raptors,24.5,22,60,24,58,-6.28,0.01,-6.28,106.1,112.9,-6.8,92.9,.293,.162,.533,NA,.491,13.7,28.2,.221,NA,.522,13.0,72.0,.251,NA,Air Canada Centre,"680,255","16,592"
1,28,Minnesota Timberwolves,23.8,17,65,24,58,-6.63,0.67,-5.97,104.2,111.1,-6.9,96.5,.282,.223,.526,NA,.483,15.1,29.6,.217,NA,.514,13.1,73.7,.251,NA,Target Center,"624,960","15,243"
1,29,Washington Wizards,24.9,23,59,22,60,-7.40,0.11,-7.30,102.4,110.2,-7.8,93.8,.290,.172,.513,NA,.471,13.9,28.0,.216,NA,.512,14.4,70.5,.249,NA,Verizon Center,"688,466","16,792"
1,30,Cleveland Cavaliers,26.6,19,63,18,64,-9.01,0.14,-8.88,102.2,111.8,-9.6,93.0,.312,.224,.518,NA,.472,13.4,24.2,.233,NA,.524,12.7,73.3,.211,NA,Quicken Loans Arena,"824,595","20,112"
1,,League Average,26.7,,,41,41,0.00,0.00,0.00,107.3,107.3,,92.1,.300,.222,.541,NA,.498,13.4,26.4,.229,NA,.498,13.4,73.6,.229,NA,,"710,241","17,321"
2,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,NA,eFG%,TOV%,ORB%,FT/FGA,NA,eFG%,TOV%,DRB%,FT/FGA,NA,Arena,Attend.,Attend./G
2,1,Chicago Bulls*,27.1,50,16,51,15,8.18,-0.76,7.43,107.4,98.3,+9.1,89.1,.255,.205,.523,NA,.490,13.2,32.6,.184,NA,.450,12.8,74.3,.175,NA,United Center,"731,326","22,161"
2,2,San Antonio Spurs*,27.5,50,16,48,18,7.17,0.11,7.28,110.9,103.2,+7.7,92.9,.261,.257,.562,NA,.528,12.8,25.1,.195,NA,.489,12.9,76.0,.168,NA,AT&T Center,"607,095","18,397"
2,3,Oklahoma City Thunder*,25.1,47,19,46,20,6.12,0.32,6.44,109.8,103.2,+6.6,93.0,.334,.252,.567,NA,.516,15.3,27.8,.269,NA,.465,13.0,72.1,.207,NA,Chesapeake Energy Arena,"600,699","18,203"
2,4,Miami Heat*,28.3,46,20,47,19,5.98,-0.27,5.72,106.6,100.2,+6.4,91.2,.307,.198,.549,NA,.505,14.5,26.6,.238,NA,.479,15.8,73.9,.200,NA,AmericanAirlines Arena,"657,855","19,935"
2,5,Philadelphia 76ers*,24.9,35,31,43,23,4.24,-0.65,3.59,103.9,99.2,+4.7,89.7,.217,.175,.511,NA,.480,10.9,24.4,.161,NA,.460,13.5,75.2,.192,NA,Wells Fargo Center,"577,597","17,503"
2,6,Atlanta Hawks*,27.9,40,26,41,25,3.44,-0.77,2.67,104.9,101.2,+3.7,90.2,.259,.249,.535,NA,.500,13.4,23.9,.192,NA,.480,14.4,74.4,.186,NA,Philips Arena,"501,593","15,200"
2,7,Indiana Pacers*,26.3,42,24,41,25,3.30,-0.71,2.60,106.7,103.1,+3.6,90.7,.321,.198,.526,NA,.474,13.1,29.2,.251,NA,.476,14.1,72.3,.222,NA,Bankers Life Fieldhouse,"467,561","14,169"
2,8,New York Knicks*,26.3,36,30,41,25,3.20,-0.81,2.39,104.4,101.0,+3.4,93.2,.306,.288,.533,NA,.492,14.9,26.6,.227,NA,.485,15.9,73.7,.224,NA,Madison Square Garden (IV),"652,179","19,763"
2,9,Denver Nuggets*,26.6,38,28,39,27,2.88,0.29,3.16,109.2,106.2,+3.0,94.2,.326,.243,.556,NA,.516,14.1,27.7,.239,NA,.508,14.3,74.3,.185,NA,Pepsi Center,"561,966","17,029"
2,10,Boston Celtics*,29.3,39,27,39,27,2.52,-0.26,2.26,101.0,98.2,+2.8,90.4,.257,.194,.535,NA,.496,14.7,19.7,.200,NA,.452,14.9,72.4,.216,NA,TD Garden,"614,592","18,624"
2,11,Los Angeles Clippers*,27.3,40,26,39,27,2.56,0.26,2.82,108.5,105.7,+2.8,89.2,.287,.269,.533,NA,.502,12.7,29.5,.195,NA,.492,14.2,73.2,.245,NA,STAPLES Center,"634,237","19,219"
2,12,Memphis Grizzlies*,25.6,41,25,38,28,2.02,0.42,2.43,104.0,101.8,+2.2,90.8,.277,.157,.515,NA,.473,13.6,29.8,.211,NA,.485,16.3,72.7,.227,NA,FedEx Forum,"518,446","15,710"
2,13,Los Angeles Lakers*,29.7,41,25,36,30,1.42,0.54,1.96,106.0,104.4,+1.6,90.5,.299,.209,.534,NA,.491,14.2,29.1,.226,NA,.476,10.7,74.8,.158,NA,STAPLES Center,"626,901","18,997"
2,14,Dallas Mavericks*,31.3,36,30,35,31,0.95,0.83,1.78,103.3,102.3,+1.0,91.4,.246,.271,.527,NA,.489,13.4,23.4,.190,NA,.479,13.9,74.8,.203,NA,American Airlines Center,"671,050","20,335"
2,15,Orlando Magic*,27.5,37,29,35,31,0.79,-0.33,0.46,105.0,104.1,+0.9,89.0,.292,.346,.533,NA,.506,14.5,26.5,.193,NA,.488,12.9,75.5,.190,NA,Amway Center,"623,587","18,897"
2,16,Utah Jazz*,25.6,36,30,34,32,0.62,0.30,0.92,106.8,106.1,+0.7,91.4,.302,.153,.525,NA,.481,13.0,30.2,.227,NA,.493,13.8,73.8,.245,NA,EnergySolutions Arena,"637,124","19,307"
2,17,Milwaukee Bucks,26.2,31,35,34,32,0.27,-0.50,-0.23,105.5,105.2,+0.3,93.7,.250,.224,.521,NA,.481,12.9,27.7,.194,NA,.489,14.6,70.9,.217,NA,Bradley Center,"485,717","14,719"
2,18,Houston Rockets,26.2,34,32,34,32,0.23,0.35,0.57,105.5,105.2,+0.3,91.7,.235,.240,.529,NA,.492,13.5,27.5,.184,NA,.490,13.8,73.4,.210,NA,Toyota Center,"506,994","15,363"
2,19,Phoenix Suns,28.9,33,33,32,34,-0.24,0.53,0.29,106.2,106.5,-0.3,92.6,.257,.238,.536,NA,.499,13.3,25.8,.194,NA,.491,13.1,71.7,.200,NA,US Airways Center,"514,718","15,598"
2,20,Portland Trail Blazers,27.5,28,38,32,34,-0.62,0.41,-0.22,105.7,106.4,-0.7,91.2,.263,.255,.531,NA,.488,13.4,26.3,.209,NA,.504,14.1,72.8,.199,NA,Rose Garden Arena,"676,384","20,496"
2,21,Minnesota Timberwolves,24.4,26,40,28,38,-2.20,0.37,-1.83,104.3,106.6,-2.3,93.3,.306,.262,.524,NA,.477,14.0,27.5,.236,NA,.491,12.2,73.0,.187,NA,Target Center,"577,197","17,491"
2,22,Golden State Warriors,25.3,23,43,25,41,-3.41,0.62,-2.79,105.4,109.1,-3.7,92.3,.227,.248,.539,NA,.505,13.3,22.9,.175,NA,.496,13.6,69.1,.237,NA,Oracle Arena,"622,311","18,858"
2,23,Toronto Raptors,25.7,23,43,25,41,-3.30,-0.36,-3.67,100.8,104.5,-3.7,89.3,.274,.209,.518,NA,.475,14.8,25.9,.211,NA,.475,12.8,75.4,.260,NA,Air Canada Centre,"555,584","16,836"
2,24,New Orleans Hornets,25.5,21,45,24,42,-3.76,0.65,-3.11,100.9,105.1,-4.2,88.3,.274,.152,.517,NA,.476,15.2,27.5,.207,NA,.485,13.5,73.1,.218,NA,New Orleans Arena,"498,618","15,110"
2,25,Washington Wizards,24.2,20,46,22,44,-4.80,-0.34,-5.14,101.0,106.2,-5.2,92.5,.253,.196,.508,NA,.472,14.2,27.3,.184,NA,.492,14.2,70.9,.229,NA,Verizon Center,"552,038","16,728"
2,26,Detroit Pistons,26.3,25,41,22,44,-4.79,-0.40,-5.19,101.0,106.3,-5.3,89.2,.279,.175,.510,NA,.468,15.0,28.1,.210,NA,.500,14.2,72.8,.226,NA,The Palace of Auburn Hills,"475,638","14,413"
2,27,Sacramento Kings,24.3,22,44,21,45,-5.68,0.73,-4.95,103.8,109.8,-6.0,94.7,.268,.228,.510,NA,.472,13.0,29.1,.197,NA,.515,13.9,70.5,.199,NA,Power Balance Pavilion,"478,764","14,508"
2,28,New Jersey Nets,26.1,22,44,19,47,-5.98,-0.39,-6.37,102.9,109.6,-6.7,90.1,.269,.278,.516,NA,.473,14.3,27.8,.209,NA,.513,13.7,70.7,.209,NA,Prudential Center,"460,719","13,961"
2,29,Cleveland Cavaliers,26.0,21,45,17,49,-7.20,-0.14,-7.34,101.1,108.9,-7.8,91.3,.307,.238,.505,NA,.463,14.3,28.9,.220,NA,.508,13.1,72.2,.202,NA,Quicken Loans Arena,"525,577","15,927"
2,30,Charlotte Bobcats,24.5,7,59,7,59,-13.91,-0.05,-13.96,95.2,110.4,-15.2,91.1,.276,.169,.483,NA,.439,13.9,23.6,.206,NA,.512,12.8,70.9,.206,NA,Time Warner Cable Arena,"486,984","14,757"
2,,League Average,26.7,,,33,33,0.00,0.00,0.00,104.6,104.6,,91.3,.276,.226,.527,NA,.487,13.8,27.0,.208,NA,.487,13.8,73.0,.208,NA,,"570,035","17,274"
3,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,NA,eFG%,TOV%,ORB%,FT/FGA,NA,eFG%,TOV%,DRB%,FT/FGA,NA,Arena,Attend.,Attend./G
3,1,Oklahoma City Thunder*,26.0,60,22,64,18,9.21,-0.06,9.15,112.4,102.6,+9.8,93.3,.338,.244,.580,NA,.527,14.4,26.7,.280,NA,.469,13.5,73.4,.197,NA,Chesapeake Energy Arena,"746,323","18,203"
3,2,Miami Heat*,30.3,66,16,62,20,7.87,-0.84,7.03,112.3,103.7,+8.6,90.7,.297,.285,.588,NA,.552,13.7,22.2,.224,NA,.487,14.8,73.0,.200,NA,AmericanAirlines Arena,"819,290","19,983"
3,3,Los Angeles Clippers*,28.8,56,26,59,23,6.45,-0.02,6.43,110.6,103.6,+7.0,91.1,.286,.265,.557,NA,.526,13.9,28.8,.203,NA,.492,15.4,73.5,.229,NA,STAPLES Center,"788,293","19,227"
3,4,San Antonio Spurs*,28.6,58,24,58,24,6.40,0.27,6.67,108.3,101.6,+6.7,94.2,.258,.264,.568,NA,.531,14.0,20.5,.204,NA,.480,13.7,74.9,.179,NA,AT&T Center,"755,700","18,432"
3,5,Denver Nuggets*,26.1,57,25,55,27,5.09,0.28,5.37,110.4,105.1,+5.3,95.1,.308,.217,.549,NA,.515,13.6,31.4,.216,NA,.493,14.3,71.8,.193,NA,Pepsi Center,"730,616","17,820"
3,6,New York Knicks*,30.2,54,28,53,29,4.23,-0.50,3.73,111.1,106.3,+4.8,89.8,.258,.354,.550,NA,.515,11.7,25.6,.196,NA,.508,14.8,74.7,.216,NA,Madison Square Garden (IV),"780,353","19,033"
3,7,Memphis Grizzlies*,27.0,56,26,54,28,4.15,0.18,4.32,104.9,100.3,+4.6,88.4,.261,.166,.514,NA,.472,13.3,31.0,.202,NA,.475,15.2,74.3,.209,NA,FedEx Forum,"681,613","16,625"
3,8,Indiana Pacers*,25.7,49,32,52,29,4.02,-0.69,3.34,104.3,99.8,+4.5,90.2,.293,.245,.521,NA,.479,14.3,30.3,.219,NA,.453,12.9,74.6,.197,NA,Bankers Life Fieldhouse,"626,069","15,270"
3,9,Houston Rockets*,24.4,45,37,50,32,3.48,0.22,3.69,109.7,106.1,+3.6,96.1,.308,.349,.564,NA,.525,14.9,26.4,.232,NA,.502,13.5,75.2,.196,NA,Toyota Center,"683,564","16,672"
3,10,Brooklyn Nets*,28.6,49,33,46,36,1.78,-0.53,1.25,108.2,106.2,+2.0,88.8,.299,.269,.536,NA,.498,14.0,30.9,.219,NA,.503,13.1,73.7,.174,NA,Barclays Center,"704,702","17,188"
3,11,Los Angeles Lakers*,30.7,45,37,44,38,1.16,0.32,1.48,107.8,106.6,+1.2,94.4,.345,.303,.548,NA,.512,13.9,27.0,.239,NA,.496,11.9,74.3,.163,NA,STAPLES Center,"778,877","18,997"
3,12,Golden State Warriors*,25.3,47,35,44,38,0.89,0.42,1.32,106.4,105.5,+0.9,94.5,.255,.239,.545,NA,.506,14.0,25.4,.201,NA,.486,12.4,75.5,.211,NA,Oracle Arena,"794,320","19,374"
3,13,Atlanta Hawks*,27.1,44,38,42,40,0.40,-0.48,-0.08,104.8,104.4,+0.4,92.6,.244,.286,.546,NA,.517,14.2,22.2,.174,NA,.496,14.2,73.6,.181,NA,Philips Arena,"620,146","15,126"
3,14,Chicago Bulls*,28.0,45,37,42,40,0.32,-0.33,-0.02,103.5,103.2,+0.3,89.3,.259,.189,.512,NA,.470,13.6,29.4,.201,NA,.477,13.2,73.6,.206,NA,United Center,"896,944","21,877"
3,15,Utah Jazz,26.3,43,39,41,41,-0.09,0.38,0.30,106.7,106.8,-0.1,90.9,.281,.206,.533,NA,.492,13.8,28.8,.214,NA,.501,14.0,73.2,.226,NA,EnergySolutions Arena,"763,915","18,632"
3,16,Boston Celtics*,29.1,41,40,40,41,-0.22,-0.40,-0.62,103.1,103.3,-0.2,91.7,.263,.215,.542,NA,.503,14.1,20.1,.204,NA,.482,14.2,73.3,.216,NA,TD Garden,"744,960","18,624"
3,17,Dallas Mavericks,29.5,41,41,39,43,-0.60,0.36,-0.24,105.9,106.5,-0.6,94.1,.242,.236,.544,NA,.506,13.0,21.8,.192,NA,.492,13.3,73.1,.227,NA,American Airlines Center,"821,490","20,036"
3,18,Milwaukee Bucks*,26.4,38,44,37,45,-1.50,-0.33,-1.83,103.6,105.2,-1.6,94.7,.236,.232,.510,NA,.476,12.7,27.9,.174,NA,.492,14.4,71.3,.201,NA,BMO Harris Bradley Center,"616,469","15,036"
3,19,Toronto Raptors,25.4,34,48,37,45,-1.48,-0.48,-1.96,105.9,107.5,-1.6,90.4,.274,.249,.532,NA,.488,13.0,25.5,.216,NA,.500,13.6,73.4,.247,NA,Air Canada Centre,"743,936","18,145"
3,20,Minnesota Timberwolves,26.4,31,51,34,48,-2.37,0.54,-1.83,102.9,105.4,-2.5,92.8,.305,.220,.516,NA,.473,13.8,27.4,.226,NA,.511,15.0,74.0,.187,NA,Target Center,"669,956","16,340"
3,21,Washington Wizards,25.4,29,53,33,49,-2.54,-0.25,-2.78,100.2,103.0,-2.8,92.2,.261,.223,.512,NA,.475,14.2,24.6,.191,NA,.483,13.7,74.6,.206,NA,Verizon Center,"670,070","16,343"
3,22,Portland Trail Blazers,24.4,33,49,32,50,-3.17,0.65,-2.53,105.8,109.2,-3.4,91.4,.250,.284,.536,NA,.498,13.9,25.3,.194,NA,.512,12.5,73.3,.189,NA,Rose Garden Arena,"813,012","19,830"
3,23,Philadelphia 76ers,25.2,34,48,31,51,-3.34,-0.17,-3.51,102.0,105.7,-3.7,91.0,.200,.209,.509,NA,.481,12.5,24.9,.146,NA,.495,13.7,73.4,.200,NA,Wells Fargo Center,"685,412","16,717"
3,24,Detroit Pistons,25.3,29,53,29,53,-3.99,-0.34,-4.33,103.8,108.1,-4.3,90.8,.282,.217,.521,NA,.487,14.3,28.3,.197,NA,.505,13.1,73.0,.209,NA,The Palace of Auburn Hills,"606,094","14,685"
3,25,New Orleans Hornets,24.0,27,55,30,52,-3.87,0.75,-3.12,105.7,110.1,-4.4,88.5,.248,.224,.528,NA,.489,14.0,29.2,.193,NA,.520,13.1,74.4,.208,NA,New Orleans Arena,"565,930","13,803"
3,26,Cleveland Cavaliers,24.1,24,58,28,54,-4.68,-0.19,-4.87,104.3,109.4,-5.1,92.3,.265,.229,.514,NA,.473,13.0,28.1,.200,NA,.523,14.4,72.6,.225,NA,Quicken Loans Arena,"663,882","16,192"
3,27,Sacramento Kings,25.6,28,54,28,54,-4.88,0.62,-4.26,106.2,111.4,-5.2,93.6,.271,.243,.532,NA,.491,13.4,26.6,.208,NA,.517,13.6,71.0,.227,NA,Sleep Train Arena,"563,743","13,750"
3,28,Phoenix Suns,26.9,25,57,23,59,-6.46,0.71,-5.75,101.2,108.1,-6.9,93.4,.234,.210,.512,NA,.477,14.3,27.0,.174,NA,.512,14.2,71.9,.208,NA,US Airways Center,"632,913","15,437"
3,29,Orlando Magic,24.6,20,62,22,60,-6.99,-0.14,-7.12,101.6,109.1,-7.5,92.2,.197,.223,.514,NA,.485,13.7,25.4,.149,NA,.508,11.8,74.6,.195,NA,Amway Center,"722,716","17,627"
3,30,Charlotte Bobcats,24.4,21,61,17,65,-9.23,-0.06,-9.29,101.5,111.5,-10.0,91.5,.310,.210,.507,NA,.460,13.2,25.7,.233,NA,.524,13.2,71.1,.197,NA,Time Warner Cable Arena,"628,293","15,324"
3,,League Average,26.7,,,41,41,0.00,0.00,0.00,105.9,105.9,,92.0,.270,.243,.535,NA,.496,13.7,26.5,.204,NA,.496,13.7,73.5,.204,NA,,"710,653","17,346"
4,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,NA,eFG%,TOV%,ORB%,FT/FGA,NA,eFG%,TOV%,DRB%,FT/FGA,NA,Arena,Attend.,Attend./G
4,1,San Antonio Spurs*,28.9,62,20,61,21,7.72,0.28,8.00,110.5,102.4,+8.1,95.0,.240,.257,.571,NA,.537,13.5,22.7,.188,NA,.482,12.8,76.4,.184,NA,AT&T Center,"755,031","18,415"
4,2,Los Angeles Clippers*,28.1,57,25,59,23,6.98,0.30,7.27,112.1,104.8,+7.3,95.9,.353,.291,.567,NA,.526,12.7,25.0,.258,NA,.484,13.8,72.5,.222,NA,STAPLES Center,"787,692","19,212"
4,3,Oklahoma City Thunder*,26.2,59,23,58,24,6.34,0.32,6.66,110.5,103.9,+6.6,95.4,.303,.271,.566,NA,.520,14.0,26.5,.244,NA,.488,13.9,75.6,.221,NA,Chesapeake Energy Arena,"746,323","18,203"
4,4,Miami Heat*,30.6,54,28,54,28,4.76,-0.61,4.15,110.9,105.8,+5.1,91.2,.300,.292,.590,NA,.554,14.6,20.6,.228,NA,.511,15.8,73.0,.212,NA,AmericanAirlines Arena,"811,036","19,781"
4,5,Golden State Warriors*,26.3,51,31,54,28,4.80,0.34,5.15,107.5,102.6,+4.9,96.2,.247,.291,.550,NA,.517,13.8,25.1,.186,NA,.477,13.6,76.3,.224,NA,Oracle Arena,"803,436","19,596"
4,6,Indiana Pacers*,27.2,56,26,54,28,4.40,-0.77,3.63,104.1,99.3,+4.8,92.5,.290,.235,.535,NA,.490,14.3,24.9,.226,NA,.460,12.9,76.8,.197,NA,Bankers Life Fieldhouse,"717,542","17,501"
4,7,Houston Rockets*,25.4,54,28,53,29,4.56,0.50,5.06,111.0,106.3,+4.7,96.3,.386,.330,.571,NA,.531,14.6,27.4,.275,NA,.489,12.5,74.1,.193,NA,Toyota Center,"743,082","18,124"
4,8,Portland Trail Blazers*,25.8,54,28,52,30,3.99,0.45,4.44,111.5,107.4,+4.1,94.9,.270,.290,.548,NA,.504,12.4,28.0,.220,NA,.488,11.0,74.7,.194,NA,Moda Center,"809,612","19,747"
4,9,Toronto Raptors*,25.6,48,34,50,32,3.24,-0.69,2.55,108.8,105.3,+3.5,91.8,.306,.285,.545,NA,.498,13.2,27.2,.239,NA,.493,14.1,74.9,.237,NA,Air Canada Centre,"748,339","18,252"
4,10,Phoenix Suns,26.2,48,34,48,34,2.63,0.39,3.02,109.5,106.7,+2.8,95.8,.293,.300,.558,NA,.519,14.0,26.4,.222,NA,.496,13.9,73.7,.237,NA,US Airways Center,"650,739","15,872"
4,11,Minnesota Timberwolves,26.3,40,42,48,34,2.67,0.43,3.10,108.9,106.2,+2.7,97.3,.321,.245,.535,NA,.486,12.2,27.4,.249,NA,.518,14.8,74.4,.177,NA,Target Center,"597,157","14,565"
4,12,Dallas Mavericks*,30.6,49,33,48,34,2.40,0.50,2.91,111.2,108.7,+2.5,93.5,.253,.274,.564,NA,.526,12.7,24.6,.201,NA,.515,14.8,72.7,.229,NA,American Airlines Center,"817,982","19,951"
4,13,Chicago Bulls*,28.6,48,34,47,35,1.85,-0.66,1.20,102.5,100.5,+2.0,90.2,.290,.222,.518,NA,.471,14.2,27.2,.226,NA,.471,13.7,75.4,.189,NA,United Center,"890,370","21,716"
4,14,Memphis Grizzlies*,28.5,50,32,46,36,1.57,0.61,2.18,106.3,104.6,+1.7,89.9,.248,.171,.529,NA,.494,13.1,28.3,.184,NA,.497,13.8,75.7,.199,NA,FedEx Forum,"685,458","16,718"
